id,Name,Company_ID,Industry,Location,Date_Start,Date_End,Filled,Minimum_GPA,Description
29,Budget/Accounting Analyst IV,16,Computer Software: Prepackaged Software,35,2/2/2024,12/16/2024,1,4,"Manages complex accounting tasks, prepares financial reports, and ensures compliance with financial regulations. Provides guidance on budgeting and financial planning."
30,Assistant Media Planner,1,Real Estate,37,12/17/2024,2/6/2025,0,1,Performs advanced budgeting and accounting functions for the organization. Analyzes financial data and prepares detailed financial reports for senior management.
31,Paralegal,40,Medical Specialities,16,6/24/2024,2/16/2025,1,2,Assists in planning and executing media campaigns. Analyzes media trends and develops strategies for targeted advertising and promotion in the media industry.
32,Database Administrator I,34,Business Services,19,12/9/2024,9/5/2024,1,4,"Provides legal support by preparing legal documents, assisting with case management, and conducting research. Prepares for trials and hearings under attorney supervision."
33,Administrative Officer,9,Business Services,30,12/20/2024,12/30/2024,0,2,"Installs, manages, and maintains database systems. Ensures data integrity, security, and accessibility for users within the organization."
34,Safety Technician I,2,n/a,15,11/11/2024,2/11/2025,0,1,"Coordinates and manages administrative tasks across departments. Ensures that office operations run smoothly, including scheduling, record-keeping, and resource management."
35,Systems Administrator III,18,Electronic Components,3,6/12/2024,8/20/2024,0,3,"Monitors and ensures safety compliance within the workplace. Conducts safety inspections, implements safety protocols, and responds to safety hazards in the work environment."
36,Safety Technician II,17,Major Banks,28,2/11/2024,11/15/2024,1,3,"Manages and maintains complex IT systems for the organization. Provides system administration support, ensures security, and resolves technical issues."
37,Recruiting Manager,39,Biotechnology: Biological Products (No Diagnostic Substances),27,3/6/2024,5/13/2025,0,4,"Monitors and ensures safety compliance within the workplace. Implements safety procedures, conducts safety training, and addresses safety-related issues."
38,Software Test Engineer IV,22,Property-Casualty Insurers,5,10/31/2024,12/17/2024,1,4,"Manages recruitment processes including sourcing, interviewing, and hiring candidates. Coordinates with managers to understand staffing needs and ensures timely hiring."
39,Paralegal,40,n/a,16,1/2/2025,12/11/2024,1,4,Designs and executes testing procedures for software applications. Ensures that software products meet the required quality standards before release.
40,Information Systems Manager,14,n/a,32,8/10/2024,2/8/2025,1,1,"Operates and maintains machinery, equipment, or systems in accordance with established guidelines and safety standards. Responsible for monitoring performance and ensuring smooth operations."
